All,ทั้งหมด
"Flush Cache Storage",ล้างที่เก็บแคช
Invalidated,วันที่ไม่ถูกต้อง
Orders,รายการสั่งซื้อ
Amounts,ยอดเงิน
Bestsellers,สินค้าที่ขายดี
"Most Viewed Products",สินค้าที่ดูมากที่สุด
"New Customers",ลูกค้าใหม่
Customer,ลูกค้า
Guest,ผู้ใช้ทั่วไป
Items,รายการ
Total,รวม
"Lifetime Sales",ยอดขายตลอดการใช้งาน
"Average Order",สั่งซื้อโดยเฉลี่ย
Average,ค่าเฉลี่ย
Views,ดู
Revenue,รายได้
Tax,ภาษี
Shipping,การจัดส่ง
"Images (.gif, .jpg, .png)","รูปภาพ (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","สื่อ (.avi, .flv, .swf)"
"All Files",แฟ้มทั้งหมด
"Reset to Default",รีเซ็ตเป็นค่าเริ่มต้น
"All Store Views",มุมมองร้านค้าทั้งหมด
"What is this?",นี่คืออะไร?
"Save Account",บันทึกบัญชี
"My Account",บัญชีของฉัน
"Account Information",ข้อมูลบัญชี
"User Name",ชื่อผู้ใช้
"First Name",ชื่อ
"Last Name",นามสกุล
Email,อีเมล
"User Email",อีเมลผู้ใช้
"New Password",รหัสผ่านใหม่
"Password Confirmation",ยืนยันรหัสผ่าน
"Interface Locale",ภาษาของอินเตอร์เฟซ
"Current User Identity Verification",ยืนยันตัวตนผู้ใช้ปัจจุบัน
"Your Password",รหัสผ่านของคุณ
"Save Cache Settings",บันทึกการตั้งค่าแคช
Refresh,รีเฟรช
"Images Cache",แคชรูปภาพ
Clear,ล้างข้อมูล
"Search Index",ดัชนีการค้นหา
Rebuild,สร้างใหม่
"Inventory Stock Status",สถานะสินค้าคงคลัง
"Rebuild Catalog Index",สร้างดัชนี้แค็ตตาล็อกใหม่
"All Cache",แคชทั้งหมด
Disable,ปิดการใช้งาน
Enable,เปิดใช้งาน
Delete,ลบ
Save,บันทึก
"General Settings",การตั้งค่าทั่วไป
"-- Please Select --","-- โปรดเลือก-"
"Custom Design",แบบกำหนดเอง
"Date From",วันที่เริ่มต้น
General,ทั่วไป
"Delete %1 '%2'","ลบ %1 '%2 '"
"Delete %1","ลบ %1 ' '"
"Backup Options",ตัวเลือกการสำรองข้อมูล
"Create DB Backup",สร้างการสำรองข้อมูลใหม่
"Delete Store","ลบ ร้านค้า"
"Delete Web Site",ลบเว็บไซต์
"Save Web Site",บันทึกเว็บไซต์
"Save Store",บันทึกร้านค้า
"Save Store View","บันทึก มุมมองร้านค้า"
"Delete Store View","ลบ มุมมองร้านค้า"
"Edit Web Site","แก้ไข เว็บไซต์"
"New Web Site","สร้าง เว็บไซต์ใหม่"
"Edit Store","แก้ไข ร้านค้า"
"New Store","สร้าง ร้านค้า ใหม่"
"Edit Store View","แก้ไข มุมมอง ร้านค้า"
"New Store View","สร้าง มุมมองร้านค้าใหม่"
"Store Information",ข้อมูลร้านค้า
"Web Site",เว็บไซต์
Name,ชื่อ
Code,รหัส
"Root Category",หมวดหมู่หลัก
"Default Store View",มุมมองร้านค้าเริ่มต้น
"Store View Information",ข้อมูลมุมมองร้านค้า
Disabled,ปิดการใช้งาน
"Web Site Information",ข้อมูลเกี่ยวกับเว็บไซต์
"Default Store",ร้านค้าเริ่มต้น
"Set as Default",ตั้งเป็นค่าเริ่มต้น
Stores,ร้านค้า
"Create Website",สร้างเว็บไซต์
"Create Store",สร้างร้านค้า
"Create Store View",สร้างมุมมองร้านค้า
Home,หน้าหลัก
"Are you sure you want to do this?",คุณแน่ใจว่าต้องการทำเช่นนี้
"Add New Image",เพิ่มรูปภาพใหม่
"Reset Filter",รีเซ็ตตัวกรอง
Search,ค้นหา
Any,อะไรก็ได้
"All Countries",ทุกประเทศ
From,จาก
To,ถึง
"Date selector",เลือกวันที่
"[ deleted ]","[ ลบ ]"
"Select All",เลือกทั้งหมด
" [deleted]",[ลบทิ้งแล้ว]
"Add New",เพิ่มใหม่
Export,ส่งออก
"Please correct the column format and try again.","กรุณาแก้ไขรูปแบบของคอลัมน์ และลองอีกครั้ง"
Submit,ส่ง
"Unknown block type",ประเภทบล็อกที่ไม่รู้จัก
"Please correct the tab configuration and try again. Tab Id should be not empty","กรุณาแก้ไขการกำหนดค่าแท็บ และลองอีกครั้ง Id ของแท็บไม่ว่างเปล่า"
"Please correct the tab configuration and try again.","กรุณาแก้ไขการกำหนดค่าแท็บ และลองอีกครั้ง"
"You have logged out.",คุณได้ออกจากระบบแล้ว
"The image cache was cleaned.",ล้างแคชภาพแล้ว
"An error occurred while clearing the image cache.",ข้อผิดพลาดเกิดขึ้นขณะล้างภาพแคชภาพ
"The JavaScript/CSS cache has been cleaned.","ล้างแคช JavaScript/CSS แล้ว"
"An error occurred while clearing the JavaScript/CSS cache.","ข้อผิดพลาดเกิดขึ้นขณะล้างแคช JavaScript/CSS"
"The static files cache has been cleaned.",ล้างแคชไฟล์แล้ว
"You flushed the cache storage.",คุณล้างที่เก็บข้อมูลแคช
"The Magento cache storage has been flushed.","ที่เก็บข้อมูลแคชของ Magento ถูกล้างแล้ว"
"Cache Management",การจัดการแคช
Dashboard,แดชบอร์ด
"Access Denied.",ไม่อนุญาตให้เข้าถึง
"You need more permissions to do this.",คุณต้องการให้สิทธิ์เพิ่มเติมเพื่อทำสิ่งนี้
System,ระบบ
"This store cannot be deleted.",ร้านนี้ไม่สามารถลบ
"Unable to delete the store. Please try again later.","ไม่สามารถลบร้านค้านี้ กรุณาลองใหม่ภายหลัง"
"This store view cannot be deleted.",มุมมองร้านค้าไม่สามารถลบได้
"Store View",มุมมองร้าน
"You deleted the store view.",คุณลบมุมมองร้านค้าแล้ว
"Unable to delete the store view. Please try again later.","ไม่สามารถลบมุมมองร้านค้านี้ กรุณาลองใหม่ภายหลัง"
"This website cannot be deleted.",เว็บไซต์นี้ไม่สามารถลบได้
"You deleted the website.",คุณลบเว็บไซต์แล้ว
"Unable to delete the website. Please try again later.","ไม่สามารถลบเว็บไซต์นี้ กรุณาลองใหม่ภายหลัง"
"The website does not exist.",ไม่มีเว็บไซต์
"The store does not exist",ไม่มีร้านค้า
"Store view doesn't exist",มุมมองร้านไม่มีอยู่
"New ","สร้างใหม่ "
"All Stores",ร้านค้าทั้งหมด
"You saved the website.",คุณบันทึกเว็บไซต์แล้ว
"The default store cannot be disabled","ร้านค้าเริ่มต้น ไม่สามารถปิดการใช้งานได้"
"You saved the store view.",คุณบันทึกมุมมองร้านแล้ว
"You saved the store.",คุณบันทึกร้านค้าแล้ว
"Something went wrong while saving. Please review the error log.","เกิดข้อผิดพลาดขณะกำลังบันทึก โปรดตรวจสอบ log ข้อผิดพลาด"
"Last 24 Hours","24 ชั่วโมงล่าสุด"
"Last 7 Days","7 วันล่าสุด"
"Current Month",เดือนปัจจุบัน
Order,รายการสั่งซื้อ
"Order #%1","รายการสั่งซื้อ #%1"
"Sorry, you need permissions to view this content.",คุณไม่ได้รับสิทธิ์ให้ดูเนื้อหานี้
"Next steps",ขั้นตอนถัดไป
"If you think this is an error, try signing out and signing in again.","ถ้าคุณคิดว่า นี้เป็นข้อผิดพลาด ลองลงชื่อออก และลงชื่อเข้าใช้อีกครั้ง"
"Contact a system administrator or store owner to gain permissions.",ติดต่อผู้ดูแลระบบหรือเจ้าของร้านจะได้รับสิทธิ์
"previous page",หน้าก่อนหน้า
"Welcome, please sign in","ยินดีต้อนรับ กรุณาเข้าสู่ระบบ"
Username,ชื่อผู้ใช้
"user name",ชื่อผู้ใช้
Password,รหัสผ่าน
password,รหัสผ่าน
"Sign in",ลงชื่อเข้าใช้
"Select Range:",เลือก
"No Data Found",ไม่พบข้อมูล
"Last Orders",คำสั่งซื้อล่าสุด
"Last Search Terms",การค้นหาล่าสุด
"Top Search Terms",การค้าหาสูงสุด
"There are no search keywords.","ไม่พบ keyword การค้นหา"
"View Statistics For:",ดูสถิติ
"Sign Out",ออกจากระบบ
"About the calendar",เกี่ยวกับปฏิทิน
"Go Today","ไปที่ วันนี้"
Previous,ก่อนหน้านี้
Next,ถัดไป
Time,เวลา
Hour,ชั่วโมง
Catalog,แค็ตตาล็อก
"JavaScript/CSS Cache","JavaScript/CSS แคช"
Images,รูปภาพ
"Big Image",รูปภาพใหญ่
Thumbnail,รูปขนาดย่อ
selected,เลือกแล้ว
"per page",ต่อหน้า
"Previous page",หน้าก่อนหน้า
"of %1","ของ %1"
"Next page",หน้าถัดไป
"Export to:",ส่งออก
"Unselect All",ยกเลิกการเลือกทั้งหมด
Loading...,กำลังโหลด...
"Allow everything",อนุญาตทุกสิ่ง
"Magento Admin","Magento แอดมิน"
Marketing,การตลาด
"SEO & Search","SEO และ ค้นหา"
"User Content","เนื้อหา ของผู้ใช้"
Content,เนื้อหา
Design,การออกแบบ
Schedule,กำหนดการ
Settings,การตั้งค่า
Attributes,คุณสมบัติ
"Other Settings",การตั้งค่าอื่นๆ
"Data Transfer",โอนถ่ายข้อมูล
"Magento Connect","เนื้อหาของ Magento"
Tools,เครื่องมือ
Currency,สกุลเงิน
Services,บริการ
Advanced,ขั้นสูง
"Store Email Addresses",อีเมลร้านค้า
"Sender Email","Email ผู้ส่ง"
"Sender Name",ชื่อผู้ส่ง
Developer,นักพัฒนา
"Default Country","ประเทศ ค่าตั้งต้น"
"European Union Countries","ประเทศ สหภาพยุโรป"
Timezone,เขตเวลา
"First Day of Week",วันแรกของสัปดาห์
"Store Name",ชื่อร้านค้า
"Store Phone Number",หมายเลขโทรศัพท์ของร้านค้า
"Store Hours of Operation",เวลาทำการของร้านค้า
Country,ประเทศ
"ZIP/Postal Code",รหัสไปรษณีย์
City,เมือง
"Street Address",ที่อยู่
"Street Address Line 2","ที่อยู่ เพิ่มเติม"
"VAT Number",เลขประจำตัวผู้เสียภาษี
"Single-Store Mode","โหมด Single-Store"
"Enable Single-Store Mode","เปิดใช้งาน โหมด Single-Store"
"This setting will not be taken into account if system has more than one store view.","การตั้งค่านี้จะมีผล เมื่อระบบมีมากกว่า 1 มุมมองร้านค้า"
"Mail Sending Settings",ตั้งค่าการส่งเมล
"Disable Email Communications","ปิดใช้งาน Email Communications"
Admin,ผู้ดูแลระบบ
"Email template chosen based on theme fallback when ""Default"" option is selected.","อีเมลเทมเพลทจะเลือกตาม ค่าตั้งต้นที่ถูกเลือก"
Security,ความปลอดภัย
"Login is Case Sensitive","ชื่อผู่ใช้ ระวังตัวพิมพ์เล็ก พิมพ์ใหญ่"
"Admin Session Lifetime (seconds)","ระยะเวลาการเข้าใช้งานของผู้ดูแลระบบ (วินาที)"
"Please enter at least 60 and at most 31536000 (one year).","โปรดระบุตัวเลขอย่างน้อย 60 และ มากที่สุด 31536000 (1 ปี)"
"Enable Charts","เปิดใช้งาน Charts"
Web,เว็บไซต์
"Default Pages",หน้าเริ่มต้น
"Default Web URL","URL ของเว็บเริ่มต้น"
Description,รายละเอียด
"Default Theme",ธีมเริ่มต้น
Pagination,เลขหน้า
"How many links to display at once.","จำนวนลิ้งก์ ที่แสดงใน 1 ครั้ง"
"Pagination Frame",เฟรมการแบ่งตัวเลขหน้า
"Theme Name",ชื่อธีม
"System Backup",สำรองข้อมูลระบบ
"Database and Media Backup","สำรองข้อมูล ฐานข้อมูลและสื่อ"
"Database Backup","การสำรองข้อมูล ฐานข้อมูล"
Backups,การสำรองข้อมูล
Backup,การสำรองข้อมูล
failed,ล้มเหลว
successful,สำเร็จแล้ว
"You deleted the selected backup(s).","คุณลบ backup(s) ที่เลือกแล้ว"
"Please correct the password.",โปรดแก้ไขรหัสผ่าน
"Failed to validate FTP.","ล้มเหลวในการตรวจสอบ FTP"
Database,ฐานข้อมูล
"Database and Media",ฐานข้อมูลและสื่อ
"System (excluding Media)","ระบบ (ไม่รวม สื่อ)"
"You created the system backup.",คุณสร้างการสำรองข้อมูลระบบแล้ว
"You created the system backup (excluding media).","คุณสร้างการสำรองข้อมูล (ไม่รวมสื่อ) แล้ว"
"You created the database and media backup.","คุณสร้างการสำรองข้อมูล ฐานข้อมูลและสื่อ แล้ว"
"You created the database backup.","คุณสร้างการสำรองข้อมูล ฐานข้อมูล แล้ว"
"Are you sure you want to continue?",คุณแน่ใจว่าต้องการดำเนินการต่อ?
"This may take a few moments.",อาจใช้เวลาสักครู่…
"Be sure your store is in maintenance mode during backup.","โปรดตรวจสอบให้แน่ใจว่าร้านค้าของคุณได้เปลี่ยนเป็น โหมดการบำรุงรักษา ในระหว่างการสำรองข้อมูล"
"Backup Name",ชื่อการสำรองข้อมูล
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","โปรดใช้เฉพาะตัวอักษร (a-z หรือ A-z), ตัวเลข (0-9) หรือ spaces ในฟิลด์นี้"
"Maintenance mode",โหมดการบำรุงรักษา
"Please put your store into maintenance mode during backup.","กรุณาเปลี่ยนร้านค้าของคุณเป็น โหมดการบำรุงรักษา ในระหว่างการสำรองข้อมูล"
Exclude,ไม่รวม
"Exclude media folder from backup","ยกเว้นโฟลเดอร์ สื่อ ในการสำรองข้อมูล"
"Please enter the password to confirm rollback.","โปรดระบุ รหัสผ่าน เพื่อยืนยันการ คืนค่าย้อนกลับ"
"This action cannot be undone.",การกระทำนี้ไม่สามารถยกเลิกได้
"User Password",รหัสผ่านของคุณ
"Please put your store into maintenance mode during rollback processing.","กรุณาเปลี่ยนร้านค้าของคุณเป็น โหมดการบำรุงรักษา ในระหว่างการเรียกข้อมูลย้อนกลับ"
"Use FTP Connection","ใช้การเชื่อมต่อ FTP"
"FTP credentials","ข้อมูลรับรอง FTP"
"FTP Login","เข้าสู่ระบบ FTP"
"FTP Password","รหัสผ่าน FTP"
"Create Backup",สร้างการสำรองข้อมูลใหม่
Rollback,เรียกคืนค่าย้อนกลับ
"Enable Scheduled Backup","เปิดการใช้งาน การสำรองข้อมูลล่วงหน้า"
Frequency,ความถี่
"Maintenance Mode",โหมดการบำรุงรักษา
"Are you sure you want to delete the selected backup(s)?","คุณแน่ใจว่าต้องการลบ backup(s) ที่เลือกหรือไม่?"
Size(bytes),ขนาด(bytes)
Type,ชนิด
Download,ดาวน์โหลด
"Save and Continue Edit","บันทึก และแก้ไขต่อไป"
"Default Content",เนื้อหาตั้งต้น
"No Default Content",ไม่มีเนื้อหาตั้งต้น
"Store View Specific Content","เนื้อหา สำหรับมุมมองร้านค้าที่ระบุ"
"Use Default",ใช้ค่าเริ่มต้น
"Related Promotions",โปรโมชั่นที่เกี่ยวข้อง
Rule,"กฎ เงื่อนไข"
"Start Date",วันที่เริ่มต้น
"End Date",ถึงวันที่
Active,ใช้งานอยู่
Inactive,ไม่ใช้งาน
"Applies To",นำไปใช้กับ
"Specify Types",ประเภทที่ระบุ
Visibility,การมองเห็นได้
Position,ตำแหน่ง
"This rule no longer exists.",เงื่อนไขนี้ไม่มีอยู่แล้ว
"You deleted %1 record(s).","ลบ %1รายการแล้ว"
"Please enter a name.",กรุณาระบุชื่อ
"-- None --",-ไม่มี-
"Content Area",พื้นที่เนื้อหา
Footer,ส่วนท้าย
Header,ส่วนหัว
"Left Column",คอลัมน์ซ้าย
"Right Column",คอลัมน์ด้านขวา
"Rotation Mode","โหมดการ เปลี่ยนภาพ"
"Display all instead of rotating","แสดงทั้งหมด แทนการเปลี่ยนทีละภาพ"
"All Segments",เซ็กเมนต์ทั้งหมด
"Customer Segment",เซ็กเมนต์ลูกค้า
"Sorry, but something went wrong","ขออภัย! มีบางอย่างผิดปกติ"
"PayPal Account","บัญชี PayPal"
"Credit Card Information",ข้อมูลบัตรเครดิต
"Save for later use.",เก็บไว้สำหรับใ้ช้ภายหลัง
"This payment is not available",การชำระเงินนี้ไม่สามารถใช้งานได้
MM,เดือน
YY,ปี
"Sorry, but something went wrong.","ขออภัย! มีบางอย่างผิดปกติ"
"Payment ","การชำระเงิน "
"Merchant ID","ID ร้านค้า"
"CVV Verification","รหัส CVV"
"Payment Information",ข้อมูลการชำระเงิน
"* Required Fields",ข้อมูลที่จำเป็นต้องกรอก
"Billing Address",ที่อยู่สำหรับออกใบเสร็จ
Company,บริษัท
Address,ที่อยู่
State/Province,จังหวัด
"Zip/Postal Code",รหัสไปรษณีย์
"Paypal account","บัญชี PayPal"
"Percent Discount",ส่วนลดเปอร์เซ็นต์
"-- Select --","-- เลือก --"
Dynamic,เปลี่ยนแปลงเสมอ
Fixed,คงที่
"Create New Option",สร้างตัวเลือกใหม่
"Add Products to Option",เพิ่มสินค้าไปที่ตัวเลือก
"Delete Option",ลบตัวเลือก
"What are you looking for?",คุณกำลังมองหาอะไรอยู่?
"Use Default Value",ใช้ค่าเริ่มต้น
"Price Range",ช่วงราคา
"As Low as",ราคาเริ่มต้น
Percent,เปอร์เซนต์
"Add Selected Products",เพิ่มสินค้าที่เลือก
"Add Option",เพิ่มตัวเลือก
"New Option",สร้างตัวเลือก
"Option Title",ชื่อตัวเลือก
"Store View Title",ชื่อมุมมองร้านค้า
"Input Type",รูปแบบการรับข้อมูล
"Multiple Select",เลือกหลายรายการ
Required,จำเป็น
"Is Default",เป็นค่าเริ่มต้น
"As low as",ราคาเริ่มต้น
"Regular Price",ราคาปกติ
"Go back to product details",กลับไปยังรายละเอียดสินค้า
"In stock",มีสินค้า
"Out of stock",สินค้าหมด
Availability:,สถานะสินค้า:
"Gift Message",ข้อความสำหรับของขวัญ
From:,จาก:
To:,ถึง:
Message:,ข้อ​ความ:
"Product Name",ชื่อสินค้า
"Discount Amount",จำนวนส่วนลด
"Add Products to New Option",เพิ่มสินค้าไปที่ตัวเลือกใหม่
"Add Products to Option ""%1""","เพิ่มสินค้าไปที่ตัวเลือก ""%1"""
Select...,เลือก...
Always,ทุกครั้ง
"Please enter the letters and numbers from the image",โปรดป้อนตัวอักษรและตัวเลขจากภาพ
"Reload captcha","โหลด captcha ใหม่"
"Please type the letters and numbers below",กรุณาพิมพ์ตัวอักษรและตัวเลขด้านล่าง
Root,หลัก
"Use All Available Attributes",ใช้แอตทริบิวต์ที่มีทั้งหมด
"Add Subcategory",เพิ่มหมวดหมู่ย่อย
"Add Root Category",เพิ่มหมวดหมู่หลัก
Day,วัน
Month,เดือน
Year,ปี
"Add Product",เพิ่มสินค้า
label,ป้ายชื่อ
"Product Attributes",แอตทริบิ้วต์สินค้า
"Add New Attribute",เพิ่มแอตทริบิวต์
"Save Attribute",บันทึกแอตทริบิวต์
"Save in New Attribute Set",บันทึกในชุดแอตทริบิวต์ใหม่
"Enter Name for New Attribute Set",ระบุชื่อสำหรับชุดแอตทริบิวต์ใหม่
"Delete Attribute",ลบแอตทริบิวต์
"Edit Product Attribute ""%1""","แก้ไขแอตทริบิวต์สินค้า ""%1"""
"New Product Attribute",สร้างแอตทริบิ้วต์สินค้า
"Advanced Attribute Properties",คุณสมบัติแอตทริบิวต์ขั้นสูง
"Attribute Code",รหัสแอตทริบิวต์
"Default Value",ค่าพื้นฐาน
"Unique Value",ค่าที่ไม่ซ้ำ
"Unique Value (not shared with other products)","ค่าที่ไม่ซ้ำ (ซึ่งไม่ใช้ร่วมกับสินค้าอื่น)"
"Not shared with other products.",ไม่ใช้ร่วมกับสินค้าอื่น
"Add to Column Options",เพิ่มไปยังตัวเลือกคอลัม
Website,เว็บไซต์
Global,ตั้งค่าระบบหลัก
Scope,ขอบเขต
"Use in Search",ใช้ในการค้นหา
Properties,คุณสมบัติ
Visible,มองเห็นได้
Searchable,ค้นหาได้
Comparable,เปรียบเทียบได้
"Delete Selected Group",ลบกลุ่มที่เลือก
Empty,ว่างเปล่า
"Add Attribute",เพิ่มแอตทริบิวต์
"Add New Group",เพิ่มกลุ่มใหม่
"Add Group",เพิ่มกลุ่มใหม่
"Edit Attribute Set Name",แก้ไขชื่อชุดแอตทริบิ้วต์
"Close Window",ปิดหน้าต่าง
"New Product",เพิ่มสินค้า
"Save & Edit",บันทึกและแก้ไข
"Save & New","บันทึก และสร้างใหม่"
"Save & Duplicate",บันทึกและทำสำเนา
"Save & Close",บันทึกและปิด
Change,เปลี่ยนแปลง
Websites,เว็บไซต์
"Products Information",ข้อมูลสินค้า
"Create Category",สร้างหมวดหมู่
"Category Name",ชื่อหมวดหมู่
"Parent Category",หมวดหมู่หลัก
"New Attribute",เพิ่มแอตทริบิวต์
"Attribute Set",ชุดแอตทริบิวต์
"Add New Option",เพิ่มตัวเลือกใหม่
"Import Options",นำเข้าตัวเลือก
Import,นำเข้า
"Add New Row",เพิ่มแถวใหม่
"Delete Row",ลบแถว
"Tier Pricing",ราคาแบบลำดับขั้น
"Default Price",ราคาตั้งต้น
"All Websites",เว็บไซต์ทั้งหมด
"ALL GROUPS",กลุ่มทั้งหมด
"Add Price",เพิ่มราคา
"Default Values",ค่าพื้นฐาน
"Related Products",สินค้าที่เกี่ยวข้อง
"Change Status",เปลี่ยนสถานะ
"Update Attributes",บันทึกแอตทริบิวต์
"New Category",สร้างหมวดหมู่ใหม่
"Add New Images",เพิ่มรูปภาพใหม่
"Inc. Tax",รวมภาษี
"Go to Home Page",ไปยังหน้าหลัก
"Products Comparison List",รายการเปรียบเทียบสินค้า
"New Products",เพิ่มสินค้าใหม่
"Click for price",คลิกเพื่อดูราคา
"Price: %1","ราคา: %1"
"Special Price: %1","ราคาพิเศษ: %1"
"Manage Categories",จัดการหมวดหมู่
Categories,หมวดหมู่
"You moved the category.",คุณย้ายหมวดหมู่แล้ว
"You saved the category.",คุณบันทึกหมวดหมู่แล้ว
"Unable to add attribute",ไม่สามารถเพิ่มแอตทริบิ้วต์ได้
"Manage Product Attributes",จัดการแอตทริบิ้วต์สินค้า
"We can't delete the attribute.",ไม่สามารถลบแอตทริบิวต์ได้
"You deleted the product attribute.",คุณได้ลบแอตทริบิวต์สินค้าแล้ว
"This attribute no longer exists.",แอตทริบิ้วต์นี้ไม่มีอยู่แล้ว
"You saved the product.",คุณบันทึกสินค้าแล้ว
"1 item","1 รายการ"
"%1 items","%1 รายการ"
Grid,ตาราง
List,รายการ
"Grid Only",ตารางเท่านั้น
"List Only",แบบรายการเท่านั้น
"Grid (default) / List","ตาราง (ค่าเริ่มต้น) / รายการ"
"List (default) / Grid","รายการ (ค่าเริ่มต้น) / ตาราง"
Manual,ปรับเอง
"-- Please select --","-- กรุณาเลือก --"
Top/Left,บนซ้าย
Top/Right,บนขวา
Bottom/Left,ล่างซ้าย
Bottom/Right,ล่างขวา
Center,กึ่งกลาง
Category,หมวดหมู่
"Could not save Prices.",ไม่สามารถบันทึกราคาได้
"Could not delete Prices",ไม่สามารถลบราคาได้
"Catalog, Search","หมวดหมู่, ค้นหา"
"In Stock",มีสินค้า
"Item Price",ราคาสินค้า
"Shop By",เลือกซื้อโดย
"Shopping Options",ตัวเลือกการช็อปปิ้ง
"Add to Wish List","เพิ่มลงใน รายการสิ่งที่ชอบ"
"We can't find products matching the selection.",เราไม่พบสินค้าที่ตรงกับการเลือก
"Add to Compare",เพิ่มลงในการเปรียบเทียบ
"Items %1-%2 of %3","สินค้า %1-%2 จาก %3"
"%1 Item","%1 รายการ"
"%1 Items","%1 รายการ"
Show,แสดง
"Sort By",เรียงตาม
"Set Ascending Direction",เรียงจากน้อยไปหามาก
"Set Descending Direction",เรียงจากมากไปหาน้อย
Adding...,กำลังเพิ่ม....
Added,เพิ่มแล้ว
"Add to Wishlist",เพิ่มไปยังรายการโปรด
"Are you sure you want to delete this category?",คุณแน่ใจหรือไม่ว่าต้องการลบหมวดหมู่นี้?
"Back to Category",กลับไปที่หมวดหมู่
Priority,ระดับความสำคัญ
"Scheduled Changes",กำหนดการ
"Update Information",แก้ไขข้อมูล
"Remove Catalog Price Rule from Update","ลบ Catalog Price Rule จากการอัพเดท"
"Schedule Update",กำหนดการปรับปรุง
"Update Name",เปลี่ยนชื่อ
"Rule Information",คำอธิบายเงื่อนไข
"Rule Name",ชื่อเงื่อนไข
Conditions,เงื่อนไข
"Save as a New Update",บันทึกเป็นการปรับปรุงใหม่
"Move to Another Update",ย้ายการปรับปรุงอื่น
"Delete the Update",ลบการปรับปรุง
"End Time",เวลาสิ้นสุด
"Sort Products By",เรียงสินค้าตาม
"New Theme","ธีมใหม่ "
"Currently Active",กำลังใช้งานอยู่
"Invalid method: %1","วิธีการไม่ถูกต้อง: %1"
City,เขต/อำเภอ
"My Cart (1 item)","ตะกร้า (1 ชิ้น)"
"My Cart (%1 items)","ตะกร้า (%1 ชิ้น)"
"My Cart",ตะกร้า
"For delivery questions.",สำหรับสอบถามเกี่ยวกับการจัดส่ง
"Customer is already registered",ลูกค้าได้ลงทะเบียนไว้แล้ว
"Your session has expired",เซสชั่นของคุณหมดอายุแล้ว
"A letter with further instructions will be sent to your email.",จดหมายพร้อมคำแนะนำเพิ่มเติมจะถูกส่งไปยังอีเมลของคุณ
"We can't add this item to your shopping cart right now.",เราไม่สามารถเพิ่มสินค้านี้ไปยังตะกร้าสินค้าของคุณได้ในขณะนี้
"We can't find the quote item.",เราไม่พบรายการใบเสนอราคา
"We cannot configure the product.",เราไม่สามารถกำหนดค่าตัวเลือกของสินค้าได้
"You used coupon code ""%1"".","คุณใช้รหัสคูปอง ""%1"""
"You canceled the coupon code.",คุณได้ยกเลิกคูปอง
"We cannot apply the coupon code.",ไม่สามารถใช้รหัสคูปองนี้ได้
"We can't remove the item.",เราไม่สามารถลบสินค้าได้
"%1 was updated in your shopping cart.","%1 ได้รับการปรับปรุงในตะกร้าสินค้าของคุณ"
"We can't update the item right now.",เราไม่สามารถอัปเดตสินค้าได้ในขณะนี้
"We can't update the shopping cart.",เราไม่สามารถอัปเดตตะกร้าสินค้าได้
"One-page checkout is turned off.",การชำระเงินแบบหน้าเดียวปิดอยู่
"Guest checkout is disabled.",การชำระเงินของแขกถูกปิดใช้งาน
Checkout,ชำระเงิน
"Page not found.",ไม่พบหน้านี้
"Please agree to all the terms and conditions before placing the order.",โปรดยอมรับข้อกำหนดและเงื่อนไขทั้งหมดก่อนทำการสั่งซื้อ
"Something went wrong while processing your order. Please try again later.","เกิดข้อผิดพลาดขณะประมวลผลคำสั่งซื้อของคุณ กรุณาลองใหม่อีกครั้งในภายหลัง."
"Payment Method",วิธีการชำระเงิน
"Payment Page",หน้าการชำระเงิน
"We can't find the product.",เราไม่พบสินค้า
"We found an invalid request for adding product to quote.",เราพบคำขอที่ไม่ถูกต้องสำหรับการเพิ่มผลิตภัณฑ์ที่จะเสนอราคา
"The product does not exist.",ไม่มีสินค้านี้
"We don't have some of the products you want.",เราไม่มีสินค้าบางรายการที่คุณต้องการ
"We don't have as many of some products as you want.",เรามีสินค้าไม่ครบตามที่คุณต้องการ
" item"," รายการ"
" items"," รายการ"
Error!,ข้อผิดพลาด!
"Apply Discount Code",ใช้รหัสส่วนลด
"Enter discount code",ใส่รหัสส่วนลด
"Apply Discount",ใช้ส่วนลด
"Continue Shopping",ช้อปปิ้งต่อ
"Update Shopping Cart",อัพเดทตะกร้าสินค้า
"Update Cart","อัพเดท ตะกร้าสินค้า"
"You have no items in your shopping cart.",คุณไม่มีสินค้าในตะกร้า
"Click <a href=""%1"">here</a> to continue shopping.","คลิก <a href=""%1"">ที่นี่</a> เพื่อช้อปปิ้งต่อ"
"Estimate Tax",ภาษีโดยประมาณ
"Estimate Shipping and Tax","ค่าจัดส่ง และภาษี โดยประมาณ"
"Order #","รายการสั่งซื้อ #"
"Proceed to Checkout",เริ่มชำระเงิน
"Your order number is: %1.","รหัสการสั่งซื้อของคุณคือ %1"
"Your order # is: <span>%1</span>.","คำสั่งซื้อ #: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","เราจะอีเมลถึงคุณ เพื่อยืนยันการสั่งซื้อและให้รายละเอียดการติดตามการจัดส่งสินค้า"
"Payment Transaction Failed Reminder",แจ้งเตือนการชำระเงินล้มเหลว
"Payment Transaction Failed",การชำระเงินล้มเหลว
